Houston	4299.40	6482592	65332	50288	1.59
Madison	391.1	634269	64767	47021	1.5
Cincinnati	2040.20	2146410	53609	47005	1.3
Fresno	443.6	963160	35821	33861	1.63
Savannah	428.6	372569	39510	39612	1.43
Beaumont	237.5	406506	50577	40500	1.62
Birmingham	1372.40	1141309	48405	45311	1.48
Tallahassee	327.6	376337	36158	35460	1.65
Clarksville	283.8	277912	33439	38545	1.84
Denver	1730.00	2752056	63246	47446	1.62
Lansing	409.7	470348	40781	35916	1.45
New Orleans	651.1	1250247	53245	44376	1.26
Riverside	1411.50	4430646	28869	28911	2.04
Eugene	224.7	360273	36536	35039	1.64
Boulder	84.1	313961	67265	49440	1.72
Tulsa	870	970603	58274	50195	1.62
College Station	185	243850	33730	33374	1.86
Amarillo	210.2	260495	45212	41016	1.81
Akron	842.7	703168	48195	45007	1.46
Jacksonville	184.8	1424097	42316	41610	1.62
Syracuse	504.9	660652	44029	40245	1.08
St. Louis	2392.20	2803449	50129	48204	1.27
Pueblo	192.2	162158	26031	33573	1.67
Lincoln	229.1	318820	51013	42979	1.78
Miami	3208.00	5926955	47438	41916	1.71
Baton Rouge	950	824667	52057	41693	1.55
Wilmington	346.5	272788	43616	37133	1.56
Cedar Rapids	216.1	264277	59147	47097	1.75
Detroit	3463.20	4296731	52084	42109	1.15
Bridgeport	1207.50	941618	93231	75426	1.42
Salt Lake City	719.7	1154504	61900	38726	1.62
Milwaukee	1413.20	1571730	56697	46691	1.34
Orlando	1548.00	2328508	45783	34915	1.5
Lexington	226.7	495193	50528	42069	1.7
Santa Rosa	253.8	497776	47946	38252	1.88
Cleveland	141.4	2061630	55697	48497	1.19
Portland	352	2351319	62606	41604	1.49
Lancaster	299.1	533110	45768	38995	1.77
New Haven	792.8	860874	45542	40960	1.1
Wichita Falls	130.4	151265	40965	42391	1.63
Chicago	6326.70	9528396	59810	43998	1.12
Knoxville	1134.80	857111	40548	40208	1.59
Tucson	915.5	1003338	32070	35078	1.54
Richmond	1274.70	1258158	54605	45057	1.42
Providence	1411.70	1609359	43672	43809	1.27
Fort Wayne	445.8	426755	43332	40047	1.69
Toledo	622.7	606684	46960	41732	1.43
Fargo	182	228254	56838	48150	1.67
San Angelo	120.9	117895	37555	41717	1.66
Colorado Springs	486.5	688643	39456	38752	1.85
Columbus	70.6	1995004	56082	44230	1.55
Nashville	1459.40	1794570	58639	46460	1.72
Albuquerque	649	904486	42265	35354	1.75
Boise	346.6	663680	40756	36750	1.7
Las Cruces	167.6	213825	28054	30312	1.73
Shreveport	479.7	445227	42709	42298	1.5
Virginia Beach	1335.00	1714428	47115	42358	1.98
Bakersfield	358.6	871337	37277	34022	1.92
Spokane	1418.3	542604	37919	37000	1.66
Waco	233.8	260659	39917	35546	1.67
Anchorage	220.1	398000	62521	47970	1.95
Las Vegas	1079.60	2070153	44810	36858	1.63
Topeka	206.1	233773	39239	41734	1.52
Raleigh	1342.00	1243720	54290	44773	1.74
Port St. Lucie	539	446728	25445	43197	1.79
Charleston	254.4	728271	44645	39477	1.46
Austin	1354.70	1942615	61183	43715	1.65
Baltimore	1857.10	2780873	58789	45765	1.08
York	342.4	20031443	70758	46249	1.14
Alexandria	169.8	154745	34664	39992	1.34
Stockton	239.6	714860	31656	33117	1.83
Charlotte	1920.50	2381152	56911	41724	1.71
Oxnard	218.6	843110	49983	40458	2.1
Provo	437.6	574684	33971	30478	2.17
Salinas	126.8	430201	45780	39310	2.09
Durham	470.7	542399	68586	44255	1.63
San Francisco	1356.20	4577530	86830	54893	1.1
Midland	116.2	161268	175837	87929	1.93
Athens	254.8	200213	36850	33419	1.67
Tyler	233.7	219745	64524	42344	1.63
Louisville/Jefferson County	1234.70	1269550	51166	43287	1.61
Corpus Christi	311.5	447102	44572	41309	1.77
Evansville	307.8	315008	46744	41322	1.48
Cape Coral	855.5	680970	33248	40875	1.78
Manchester	223.1	404948	58946	47118	1.56
Odessa	152.6	153177	52761	44859	1.78
Sioux Falls	166.2	247315	61657	48169	1.82
Pittsburgh	2344.40	2354926	54076	47880	1.16
Peoria	371.7	379241	46375	43974	1.91
Hartford	1337.10	1211826	66279	51271	0.99
Minneapolis	2646.50	3488436	61268	47700	1.35
Atlanta	6851.40	5612777	55300	41833	1.28
Memphis	1288.00	1341339	46260	41989	1.47
Tampa	2478.60	2927714	41609	37961	1.49
Rockford	396.3	342552	38066	38520	1.46
Vallejo	108.8	429596	39369	33544	2.01
Fort Collins	284	325228	41725	39557	1.86
Modesto	238	530561	32184	33889	1.86
Augusta	672.2	584964	34297	37230	1.69
Ann Arbor	413.3	358082	53489	43652	1.44
Des Moines	519.5	611755	69121	47344	1.71
Oklahoma City	1063.50	1337075	47819	46466	1.82
Laredo	170.1	266006	26103	29405	1.85
Davenport	358	383304	43856	43971	1.66
South Bend	417.2	319491	38333	40723	1.43
Green Bay	272	314555	51285	44786	1.66
Boston	4852.20	4728844	77502	53632	0.94
Greeley	106.8	278065	34400	35976	1.92
Little Rock	669	727371	46131	41512	1.58
Reno	425.7	443855	49703	42823	1.73
Visalia	164.3	455769	30930	33998	1.84
Salem	196.6	404997	33572	34113	1.71
Seattle	2616.70	3671095	77273	49689	1.39
Huntington	337.6	362559	35882	37391	1.99
Rochester	131	1082226	44782	41416	1.14
Dallas	4607.90	6957123	65154	45385	1.59
Allentown	896.9	830737	45589	41446	1.33
San Diego	1896.90	3253356	57465	40851	1.8
Gainesville	327	273614	39102	37176	1.44
McAllen	927.2	828334	20361	25521	1.72
Huntsville	543.3	440230	49307	43684	1.7
Santa Maria	75.4	439395	50058	42729	1.98
Palm Bay	600.8	560683	31741	37568	1.75
San Antonio	1546.50	2332345	45006	40317	1.71
Springfield	126.8	629107	37977	41058	1.26
Greensboro	479.7	746301	45927	38515	1.61
Indianapolis	1827.90	1968768	58670	43348	1.63
Columbia	160.1	800559	43133	38534	1.81
Philadelphia	5131.70	6047721	62817	47160	1.05
Phoenix	2969.60	4486153	43602	37538	1.71
Dayton	910.2	800950	44381	41916	1.39
Sacramento	1219.80	2242542	46650	42076	1.65
San Jose	740.7	1943107	119695	55325	2.12
Kansas City	1755.60	2070147	54348	45613	1.58
Billings	137.2	166414	54144	40148	1.91
New York	8936.00	20031443	70758	46249	1.14
Chattanooga	777.3	544522	40441	39890	1.54
Omaha	702.4	904834	58023	47759	1.66
Killeen	219.7	426926	36290	38766	1.79
Mobile	576.9	414291	40612	36399	1.65
Lakeland	378.2	637691	26527	32201	1.54
Abilene	141.8	168774	38385	40372	1.69
Wichita	556.2	640505	44351	45807	1.63
El Paso	649	837073	30143	32443	1.82
Grand Rapids	726.7	1028173	49269	42352	1.56
Lafayette	102.4	484043	37699	46530	1.6
Brownsville	211.2	418785	21699	27290	1.73
Los Angeles	4496.30	13189366	66477	39927	1.62
Lubbock	249.8	306392	37663	36847	1.74
Fayetteville	486.2	503642	45627	51755	1.64
Macon	253.9	230785	36256	38164	1.6
Buffalo	984	1135503	44422	42864	1.08
Trenton	273.4	371101	73415	48985	1.69571492629
Bellingham	124.6	209729	39387	37556	1.69689609881
Sierra Vista	78.4	128177	27963	37273	1.61955130065
Merced	123.1	265001	28033	32635	1.71701630785
Auburn	129.3	153947	28577	35468	1.66057452296
Jefferson City	103.6	150840	43299	43066	1.60813723536
Logan	113.8	131837	30821	31064	1.77568205645
Casper	78.6	80871	65037	56274	1.48745597753
Dalton	209.3	143011	37855	33631	1.76770211786
Eau Claire	178.7	165262	43961	42050	1.63105007596
Ithaca	63.7	104268	41391	33170	1.81375257279
Elizabethtown	147.5	150451	36610	39544	1.63171887675
Roanoke	321.6	312891	42775	41676	1.61960994724
Winchester	96.3	133125	40356	40776	1.63655799505
Bismarck	100.4	126392	52342	49146	1.54459972908
Farmington	90.4	122537	50707	36567	1.80878049309
Fairbanks	142.8	100150	46557	45043	1.58839141731
Sumter	170.1	107682	30253	37902	1.61850800892
Kokomo	93.9	82728	50979	37724	1.78596158512
Bloomsburg	84.7	85176	41318	39759	1.6677293382
Cheyenne	91	96459	47785	46391	1.57118514425
Charlottesville	89.5	226817	48418	47962	1.53939185802
Spartanburg	492.2	322157	40242	37623	1.67942637838
El Centro	77.7	178807	27651	32999	1.71013198357
Appleton	268.8	231452	46747	43477	1.61488821188
Lake Charles	327.7	203972	65218	41346	1.80039197339
Staunton	98.8	119930	35702	39962	1.61884292856
Wausau	121.4	135367	49878	43039	1.65841989373
Champaign	121.5	236647	44352	38650	1.71064617305
Pine Bluff	96.3	94741	28327	33691	1.70053175927
Harrisburg	672.6	561447	55347	44137	1.6379784449
Flint	611	413090	30050	34592	1.65960960715
Muskegon	290.8	172148	29676	34101	1.68963030592
Jonesboro	121.6	127015	34846	37060	1.67457503092
Dothan	143.7	147843	30640	38857	1.60130128379
Saginaw	184.4	195201	37968	34988	1.73928077729
Hickory	677.6	363377	32802	35002	1.66882508518
Beckley	157.9	123243	29643	39316	1.58321419652
Missoula	117.1	113101	39021	36897	1.71064197914
Terre Haute	138.4	171445	31913	35189	1.69145297817
Sebring	119.6	98862	17666	33227	1.62763237619
Duluth	182.5	279540	39814	40322	1.63500964271
Bangor	110.1	152978	34371	34450	1.72841602533
Oshkosh	79.8	169487	53329	40617	1.7397705744
Hinesville	80.7	81192	37680	30496	1.84344530366
Redding	184	179228	30227	35521	1.66855355845
Wheeling	121.8	144781	44917	42911	1.62302345026
Chico	89.1	223877	30077	34041	1.70443836589
Medford	167.6	210916	32432	35285	1.6910054342
Kalamazoo	341.1	333821	42009	39375	1.66278729963
Cape Girardeau	90.7	97422	37835	41340	1.60578822857
Deltona	249.8	613723	23615	34796	1.62260801142
Atlantic City	324.1	274026	41023	37263	1.70356941019
Lebanon	116.7	136950	31640	39791	1.59016768605
Barnstable Town	718.1	214703	45909	54088	1.35067020196
La Crosse	132.1	136329	46163	42080	1.65037978463
Altoona	96.8	125917	37742	39217	1.65083760393
Janesville	79.7	160986	34756	38514	1.64373643588
Winston	835.5	654589	37398	39329	1.59520286914
Hattiesburg	178.7	148071	35058	35834	1.69954307724
Ocala	290.3	340341	21119	33026	1.64477089195
North Port	308.1	751422	33287	44694	1.47384841975
Battle Creek	137.3	134691	38991	35231	1.74547239132
Florence	160.9	206264	35056	37677	1.65907197945
Pensacola	602.5	473477	31674	36405	1.63169924805
Greenville	168.9	862064	40402	38069	1.67968044352
Hot Springs	116.4	97119	27700	39137	1.57502942922
Reading	269	414097	42912	41089	1.63474733554
Racine	128	194873	34839	40535	1.59672275736
Yuma	152.3	203292	27500	28342	1.80658122462
Hammond	198.5	127115	25161	36872	1.60016182331
Harrisonburg	84.3	130406	50787	33950	1.86703790877
Lawrence	78.8	116352	32555	35792	1.68743082457
Homosassa Springs	234.3	140453	18477	35539	1.57595501193
Binghamton	192	247030	34449	36877	1.66953134628
Ames	60.2	94834	44881	38764	1.71808160492
Decatur	151	152988	30783	36375	1.65637413836
Morgantown	97.1	136620	48360	40028	1.71421244949
Lynchburg	230	258062	31713	36756	1.64889732811
Sebastian	250.3	145342	32198	63906	1.05753146838
Rocky Mount	119	149054	35702	37904	1.66237694068
Waterloo	161.2	169857	46679	41577	1.66316422203
Lake Havasu City	76.5	203629	18153	27239	1.76339928881
Kankakee	96.2	111493	31942	33132	1.74022265697
Norwich	393.7	272033	51814	46012	1.59037979252
St. George	116.3	151959	27726	29086	1.79488798887
Lawton	114.2	130645	34725	37723	1.65944849156
Joplin	166.8	176117	36379	35946	1.70739256881
Lewiston	73.1	107376	33241	35274	1.70453182292
Olympia	273.5	266311	36467	37555	1.66521391579
Vineland	160.3	155744	32532	31937	1.76661472333
Goldsboro	137	124447	31028	36767	1.65092548726
Kennewick	265.4	275329	39941	35486	1.73754768663
Hilton Head Island	175.1	202502	37261	42331	1.57309360137
San Luis Obispo	52.9	278680	43964	39509	1.69194090997
Owensboro	87.6	116932	41860	41220	1.63910682963
Salisbury	183.1	390091	38761	41838	1.59172589851
Lima	135.6	104664	44805	37140	1.74874520464
Anniston	224.7	115883	29659	35616	1.6609256924
Gulfport	426.1	385448	36847	35363	1.70562457482
New Bern	112.4	127156	34440	41447	1.57569094306
Madera	58	153366	30621	31423	1.76902752769
Sioux City	140.8	168746	49014	45675	1.59227969644
Napa	66.9	140823	63340	42252	1.78182737847
Bloomington	116	189576	53298	42106	1.70447602576
Corvallis	54.7	87455	48378	37051	1.782915168
Muncie	120.9	116463	28609	32781	1.72091162741
Urban Honolulu	440.7	986999	57002	37048	1.81191566518
Wenatchee	81.3	114862	35188	38240	1.65376683913
Kingston	110.9	180505	29441	37164	1.63054605912
Pittsfield	86.8	128563	45047	45772	1.56346879357
Iowa City	118	164121	51303	43492	1.65909332416
Yakima	155	247681	33038	36467	1.66977967139
Weirton	130.8	121104	30682	37127	1.6407777813
Asheville	686	441724	35147	36027	1.66247807687
Williamsport	68.6	116313	36278	39106	1.64380070297
Mansfield	130.3	121888	32157	36108	1.67446169482
St. Cloud	130.1	193118	44716	39762	1.68929819546
Glens Falls	107.6	127376	34080	38686	1.63379575383
Flagstaff	90.2	138064	35905	36863	1.68858509774
Brunswick	112.4	114967	30375	36574	1.65169980455
Pocatello	80.3	83815	28053	32896	1.71696613547
Santa Fe	137.5	147320	42022	44555	1.56382953844
Walla Walla	71.7	63780	39163	39563	1.65661326909
Bowling Green	117.6	166401	36884	36020	1.71256514113
Youngstown	624.4	552521	32901	38531	1.59185012315
Kahului	43.2	162547	44446	34188	1.81496728653
Hanford	71.9	150261	29938	32102	1.74816445113
Blacksburg	132.6	181288	33334	34038	1.72776112204
Texarkana	166.8	149765	30956	35893	1.6674485718
Rapid City	109.4	142585	38701	42182	1.59211746593
East Stroudsburg	134.9	167126	30980	33798	1.71510293355
Grand Junction	204.1	148166	30529	37130	1.63496237252
Yuba City	100.1	169303	29006	34724	1.68156420273
Kingsport	294.1	307491	33205	38199	1.6242141187
Worcester	787.6	930667	40023	41813	1.55872620382
Tuscaloosa	231.8	237672	40046	36457	1.71957445411
Michigan City	100.9	110993	30755	38455	1.61404128376
Longview	85.1	216775	41469	43794	1.57803414991
Albany	62.1	879291	51755	46255	1.59271466887
Johnson City	284.7	200696	29475	36108	1.64388983944
Dubuque	87.5	96359	49757	42747	1.66647507465
Parkersburg	109.8	92088	38398	39217	1.65571967871
Canton	431.1	402870	37022	41274	1.57665017055
Santa Cruz	151.1	270931	43198	39499	1.68091696959
Morristown	155	116054	30777	35491	1.67614292888
Bremerton	353.5	257488	35293	40812	1.58039796312
Myrtle Beach	493.1	419585	32421	33243	1.71388787574
Utica	161.6	296416	31900	37530	1.63651667265
Fort Smith	183.3	280507	32346	36177	1.66868806287
Carbondale	126.1	126524	36151	39422	1.63249143489
Grants Pass	70.4	84063	24398	32990	1.68744203923
Elkhart	237.9	201640	67868	37771	1.9042413484
Carson City	59.8	54412	51746	39401	1.75743353147
Grand Island	72.9	84381	43089	43891	1.59128841022
Chambersburg	96.8	152707	30459	39095	1.59723645295
Great Falls	80.6	82049	38012	40404	1.62851959269
Warner Robins	260.6	187504	31377	38049	1.61744453121
Mankato	68.3	98750	48703	42640	1.66178106213
Sherman	93.1	124231	30362	37317	1.63621524089
Panama City	238	194212	36374	36459	1.69179035287
Victoria	75.2	98452	43303	46042	1.54534665088
Houma	236.8	210787	43380	48714	1.47629260964
Valdosta	144.3	143950	28760	35813	1.65373627809
Grand Forks	63.3	101343	44884	42687	1.6317164225
Sheboygan	86.6	115269	46145	46517	1.55577306993
Daphne	143.1	199510	29426	38910	1.58997648537
Bay City	104.4	106107	27394	37150	1.61681283379
Fond du Lac	74.7	101968	40951	44729	1.55610612029
Elmira	97.9	87742	33706	37801	1.65158093064
Johnstown	100	137762	27611	40379	1.54730651607
Gadsden	186.6	103363	25172	36177	1.61657694487
Scranton	442.3	559898	37044	40266	1.59560600479
Manhattan	53.6	97946	32152	38333	1.63030284679
Ogden	563.5	632793	32968	35349	1.66423261805
Idaho Falls	115.3	138677	38787	38117	1.68173183439
Hagerstown	345.3	259744	32045	34458	1.69538397691
Watertown	106	117966	48257	40689	1.69873809626
Rome	123.5	96199	34815	38432	1.64464972475
Mount Vernon	89.3	120475	38512	40509	1.62889644132
Dover	172	171474	36088	37229	1.67679153797
